"toTokenAddress","chainName"
"0xd93dc936e60e9e275cbe6f225e9c065951b9b1d4",base-mainnet
"0x6921b130d297cc43754afba22e5eac0fbf8db75b",base-mainnet
"0x55f7d29e031135513e93f07d483a47389c080a51",base-mainnet
"0x3adf956c39ef562ac842be3465e5f87d34506102",base-mainnet
"0xbaac2b4491727d78d2b78815144570b9f2fe8899",ethereum-mainnet
"0xc82a5012987631f6600ca2b7fe6c13ec251b83be",base-mainnet
"0x3a7fdaffcec305b7c5dbab618dce8be2c97b6ec5",base-mainnet
"0xf73978b3a7d1d4974abae11f696c1b4408c027a0",base-mainnet
"0x3c64248349169587ff3974f1b5298ef821a6c13e",base-mainnet
"0x20dd04c17afd5c9a8b3f2cdacaa8ee7907385bef",base-mainnet
"0x3f84d0bb91a9c74cae710e59650d088c5a643eee",base-mainnet
"0x2d57c47bc5d2432feeedf2c9150162a9862d3ccf",base-mainnet
"0xc06caead870d3a8af2504637b6c5b7248bed6116",ethereum-mainnet
"0x9a33406165f562e16c3abd82fd1185482e01b49a",base-mainnet
"0x20fd4c5396f7d9686f9997e0f10991957f7112fc",base-mainnet
"0x1cfc22860fe46a622e3c2d1c9b036412467ef4c9",base-mainnet
"0x21cfcfc3d8f98fc728f48341d10ad8283f6eb7ab",base-mainnet
"0x62574e9d339ff6c336cbf900323162de9e134611",base-mainnet
"0x0d8ecc96d98016603931b543ee55f7ec711c9a42",base-mainnet
"0x304c852e84cee377597e164429a637d481ed4d3d",base-mainnet
"0x0a8753e39d5805bab0e570dd1974ee43f90799a8",base-mainnet
"0x0b3ae50babe7ffa4e1a50569cee6bdefd4ccaee0",base-mainnet
"0x1bc0c42215582d5a085795f4badbac3ff36d1bcb",base-mainnet
"0x2e7df1528f4ea427f48b49ae8a1f78149db7185a",base-mainnet
"0x458308896eb5103d218f578125d464bc74a7539b",base-mainnet
"0xf878e27afb649744eec3c5c0d03bc9335703cfe3",base-mainnet
"0x1014fc96b37225e56f171a107bebef03800ff8f8",base-mainnet
"0x3fdd06f2cb5b6decc23d5af67223896e2f58afe6",base-mainnet
"0xabab3b0db38f2303acbcab672905e41a18e396d8",ethereum-mainnet
"0xcf3155bc7c6660ab2fec8fb3a43c49abcc9a3211",base-mainnet
"0x3156087c99f21d510a0f5b4b967b31bb4b2850e8",base-mainnet
"0x170c57f9d398cd88bf7a347875cba55ab808b2d3",base-mainnet
"0x3b3cd21242ba44e9865b066e5ef5d1cc1030cc58",base-mainnet
"0xc077efd58c840db444a18f4bb23c14a50e106bcf",base-mainnet
"0x4604151d4c98d1eea200b0d6bffb79a2613182aa",ethereum-mainnet
"0xacf80a4e55f5f28e1e7d261a221ca495db5bcbb3",base-mainnet
"0x1b23819885fce964a8b39d364b7462d6e597ae8e",base-mainnet
"0xfbe7b306acebefa4ed7a72ecb60675b92942bccc",base-mainnet
"0x940181a94a35a4569e4529a3cdfb74e38fd98631",base-mainnet
"0x3dfc9bd69149cf682bb2558f88d735baab6cecfa",base-mainnet
"0x04175b1f982b8c8444f238ac0aae59f029e21099",base-mainnet
"0x4150931ae6e60b1076bba4113b6b3ce0417ca528",base-mainnet
"0x9af595c8fc201e82db65faef71d51365d7f11b5f",ethereum-mainnet
"0xe1516a29587d12788978d450d92382617ee6def3",base-mainnet
"0x3f6b22fc45e39c1b05dbef061f99a8b976424448",base-mainnet
"0x18b6f6049a0af4ed2bbe0090319174eeef89f53a",base-mainnet
"0x3ebebdfba610277b5b3aacbc26038daf63e98c89",base-mainnet
"0x1c4cca7c5db003824208adda61bd749e55f463a3",base-mainnet
"0x4f81837c2f4a189a0b69370027cc2627d93785b4",base-mainnet
